#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 54000051  12   8   t   22      12          1              0  ZDC_EM     1     1    -99
 54000052  12   8   t   22      12          1              1  ZDC_EM     1     2    -99
 54000053  12   8   t   22      12          1              2  ZDC_EM     1     3    -99
 54000054  12   8   t   22      12          2              0  ZDC_EM     1     4    -99
 54000055  12   8   t   22      12          2              1  ZDC_EM     1     5    -99
 54000061  12   8   t   22      12          2              2 ZDC_HAD     1     1    -99
 54000062  12   8   t   22      12          3              0 ZDC_HAD     1     2    -99
 54000063  12   8   t   22      12          3              1 ZDC_HAD     1     3    -99
 54000064  12   8   t   22      12          3              2 ZDC_HAD     1     4    -99
 54000011  12   8   b   22      13          1              0  ZDC_EM    -1     1    -99
 54000012  12   8   b   22      13          1              1  ZDC_EM    -1     2    -99
 54000013  12   8   b   22      13          1              2  ZDC_EM    -1     3    -99
 54000014  12   8   b   22      13          2              0  ZDC_EM    -1     4    -99
 54000015  12   8   b   22      13          2              1  ZDC_EM    -1     5    -99
 54000021  12   8   b   22      13          2              2 ZDC_HAD    -1     1    -99
 54000022  12   8   b   22      13          3              0 ZDC_HAD    -1     2    -99
 54000023  12   8   b   22      13          3              1 ZDC_HAD    -1     3    -99
 54000024  12   8   b   22      13          3              2 ZDC_HAD    -1     4    -99
