#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.24271  0.24271  0.24271  0.24271   42004081
               -2               1               1              HB  0.23754  0.23754  0.23754  0.23754   42004101
               -3               1               1              HB  0.23437  0.23437  0.23437  0.23437   42004181
               -4               1               1              HB  0.22561  0.22561  0.22561  0.22561   42004201
               -5               1               1              HB  0.21629  0.21629  0.21629  0.21629   42004281
               -6               1               1              HB  0.21135  0.21135  0.21135  0.21135   42004301
               -7               1               1              HB  0.20470  0.20470  0.20470  0.20470   42004381
               -8               1               1              HB  0.20098  0.20098  0.20098  0.20098   42004401
               -9               1               1              HB  0.17324  0.17324  0.17324  0.17324   42004481
              -10               1               1              HB  0.17686  0.17686  0.17686  0.17686   42004501
              -11               1               1              HB  0.18311  0.18311  0.18311  0.18311   42004581
              -12               1               1              HB  0.18109  0.18109  0.18109  0.18109   42004601
              -13               1               1              HB  0.14843  0.14843  0.14843  0.14843   42004681
              -14               1               1              HB  0.18486  0.18486  0.18486  0.18486   42004701
              -15               1               1              HB  0.12594  0.12594  0.12594  0.12594   42004781
              -15               1               2              HB  0.12661  0.12661  0.12661  0.12661   42008781
              -16               1               1              HB  0.16912  0.16912  0.16912  0.16912   42004801
              -16               1               2              HB  0.12991  0.12991  0.12991  0.12991   42008801
               -1               2               1              HB  0.20785  0.20785  0.20785  0.20785   42004082
               -2               2               1              HB  0.19441  0.19441  0.19441  0.19441   42004102
               -3               2               1              HB  0.16996  0.16996  0.16996  0.16996   42004182
               -4               2               1              HB  0.18623  0.18623  0.18623  0.18623   42004202
               -5               2               1              HB  0.18474  0.18474  0.18474  0.18474   42004282
               -6               2               1              HB  0.17259  0.17259  0.17259  0.17259   42004302
               -7               2               1              HB  0.15918  0.15918  0.15918  0.15918   42004382
               -8               2               1              HB  0.14911  0.14911  0.14911  0.14911   42004402
               -9               2               1              HB  0.18170  0.18170  0.18170  0.18170   42004482
              -10               2               1              HB  0.14636  0.14636  0.14636  0.14636   42004502
              -11               2               1              HB  0.13894  0.13894  0.13894  0.13894   42004582
              -12               2               1              HB  0.15829  0.15829  0.15829  0.15829   42004602
              -13               2               1              HB  0.14653  0.14653  0.14653  0.14653   42004682
              -14               2               1              HB  0.14230  0.14230  0.14230  0.14230   42004702
              -15               2               1              HB  0.13038  0.13038  0.13038  0.13038   42004782
              -15               2               2              HB  0.11401  0.11401  0.11401  0.11401   42008782
              -16               2               1              HB  0.11346  0.11346  0.11346  0.11346   42004802
              -16               2               2              HB  0.12486  0.12486  0.12486  0.12486   42008802
               -1               3               1              HB  0.23434  0.23434  0.23434  0.23434   42004083
               -2               3               1              HB  0.22446  0.22446  0.22446  0.22446   42004103
               -3               3               1              HB  0.22101  0.22101  0.22101  0.22101   42004183
               -4               3               1              HB  0.21662  0.21662  0.21662  0.21662   42004203
               -5               3               1              HB  0.23156  0.23156  0.23156  0.23156   42004283
               -6               3               1              HB  0.22726  0.22726  0.22726  0.22726   42004303
               -7               3               1              HB  0.21059  0.21059  0.21059  0.21059   42004383
               -8               3               1              HB  0.19754  0.19754  0.19754  0.19754   42004403
               -9               3               1              HB  0.18998  0.18998  0.18998  0.18998   42004483
              -10               3               1              HB  0.20058  0.20058  0.20058  0.20058   42004503
              -11               3               1              HB  0.19635  0.19635  0.19635  0.19635   42004583
              -12               3               1              HB  0.18524  0.18524  0.18524  0.18524   42004603
